,load,type,compressor,p_value,normal
0,OIL-MAMMO,ANOTHER-CONTROL,ZLIB,0.15192430912221505,True
1,OIL-MAMMO,ANOTHER-CONTROL,GZIP,0.0017798349660538575,False
2,OIL-MAMMO,ANOTHER-CONTROL,BZ2,1.563775754013158e-05,False
3,OIL-MAMMO,ANOTHER-CONTROL,PPMD,0.061744737446316623,True
4,OIL-MAMMO,ANOTHER-CONTROL,ENTROPY,7.09022403269153e-05,False
5,OIL-MAMMO,API,ZLIB,9.155032121180344e-07,False
6,OIL-MAMMO,API,GZIP,0.000515106691014922,False
7,OIL-MAMMO,API,BZ2,0.00020955342443516883,False
8,OIL-MAMMO,API,PPMD,8.503106170016382e-06,False
9,OIL-MAMMO,API,ENTROPY,1.838307459671068e-07,False
10,OIL-MAMMO,CONC,ZLIB,1.1703628725822899e-06,False
11,OIL-MAMMO,CONC,GZIP,9.799594561500796e-06,False
12,OIL-MAMMO,CONC,BZ2,1.875309472234079e-06,False
13,OIL-MAMMO,CONC,PPMD,1.277930317360432e-05,False
14,OIL-MAMMO,CONC,ENTROPY,1.6072741909172296e-05,False
15,OIL-MAMMO,LOGIC,ZLIB,5.729308955928788e-07,False
16,OIL-MAMMO,LOGIC,GZIP,0.0011306881499285124,False
17,OIL-MAMMO,LOGIC,BZ2,5.63885199500429e-05,False
18,OIL-MAMMO,LOGIC,PPMD,1.8050772828155645e-06,False
19,OIL-MAMMO,LOGIC,ENTROPY,2.781851899679883e-08,False
20,OIL-MAMMO,MEMORY,ZLIB,0.0061226483834129885,False
21,OIL-MAMMO,MEMORY,GZIP,1.0936380759045021e-05,False
22,OIL-MAMMO,MEMORY,BZ2,1.0194048839541194e-05,False
23,OIL-MAMMO,MEMORY,PPMD,0.0017228392288914983,False
24,OIL-MAMMO,MEMORY,ENTROPY,0.0007149726905778955,False
25,OIL-MAMMO,MODEL,ZLIB,4.197588513870066e-05,False
26,OIL-MAMMO,MODEL,GZIP,0.001563429782657043,False
27,OIL-MAMMO,MODEL,BZ2,4.5228422446982656e-07,False
28,OIL-MAMMO,MODEL,PPMD,6.564539381780618e-07,False
29,OIL-MAMMO,MODEL,ENTROPY,5.6443091136909525e-06,False
30,OIL-MAMMO,PROCESS,ZLIB,8.476862360792846e-07,False
31,OIL-MAMMO,PROCESS,GZIP,2.8277603289545653e-05,False
32,OIL-MAMMO,PROCESS,BZ2,6.527492803057561e-09,False
33,OIL-MAMMO,PROCESS,PPMD,6.603123722321995e-05,False
34,OIL-MAMMO,PROCESS,ENTROPY,0.00024091190676946584,False
35,OIL-MAMMO,TRAIN,ZLIB,6.64299490095948e-05,False
36,OIL-MAMMO,TRAIN,GZIP,3.1684614772077864e-07,False
37,OIL-MAMMO,TRAIN,BZ2,7.587254301261205e-07,False
38,OIL-MAMMO,TRAIN,PPMD,4.081494536729293e-06,False
39,OIL-MAMMO,TRAIN,ENTROPY,1.930775981868692e-05,False
